Key,English,ChineseSimplified,ChineseTraditional,Spanish,French,Russian,Portuguese,Japanese,Korean
传送到赛博射击战场,Teleport to Cyber Field,传送到赛博射击战场,,,,,,サイバーシューターの戦場へテレポート,사이버슈터 전장으로 순간이동
广告奖励,Advertising Rewards,广告奖励,,,,,,広告報酬,광고 보상
看广告可以使用这个厉害的武器哟~,Watch ads to use this powerful weapon!,看广告可以使用这个厉害的武器哟~,,,,,,広告を見ればこの強力な武器を使うことができますよ~,광고를 보시면 이 강력한 무기를 사용하실 수 있습니다~
取消,Cancel,取消,,,,,,キャンセル,취소
免费获取,FREE,免费获取,,,,,,無料で入手,무료로 받으세요
激光枪-黄,Laser Gun - Yellow,激光枪-黄,,,,,,レーザー銃 - イエロー,레이저 건 - 노란색
99,99,99,,,,,,99,99
9999999,9999999,9999999,,,,,,9999999,9999999
使用,Use,使用,,,,,,使用,사용
100/100,100/100,100/100,,,,,,100/100,100/100
激光枪-黄激光枪-黄,Laser Gun - Yellow Laser Gun - Yellow,激光枪-黄激光枪-黄,,,,,,レーザーガン - イエロー レーザーガン - イエロー,레이저 건 - 노란색 레이저 건 - 노란색
未获得,Not Obtained,未获得,,,,,,未取得,획득하지 못함
永久,Permanent,永久,,,,,,永久,영구적인
购买,Purchase,购买,,,,,,買う,구입하다
射速：0.1,Rate of Fire: 0.1,射速：0.1,,,,,,発射速度：0.1,발사 속도: 0.1
9999999999,9999999999,9999999999,,,,,,9999999999,9999999999
9999,9999,9999,,,,,,9999,9999
免费领取,Free to claim,免费领取,,,,,,無料で入手,무료로 받으세요
活动期间每天在线30分钟连续3天即可领取,Claimable for 30 minutes online every day for 3 consecutive days during the event.,活动期间每天在线30分钟连续3天即可领取,,,,,,イベント期間中、3日間連続で毎日30分間オンラインに接続できる。,이벤트 기간 동안 매일 30분씩 3일 연속으로 온라인에 접속할 수 있습니다.
登录游戏,Log in,登录游戏,,,,,,ゲームにログインする,게임에 로그인
完成,Completed,完成,,,,,,仕上げる,마치다
在线30分钟,Online for 30 minutes,在线30分钟,,,,,,30分間オンライン,30분 동안 온라인으로
未完成（1/3）,Incomplete (1/3),未完成（1/3）,,,,,,未完成 (1/3),완료되지 않음(1/3)
领取,Receive,领取,,,,,,受け取る,받다
99999,99999,99999,,,,,,99999,99999
设置,Settings,设置,,,,,,設定,설정
排行榜,Leaderboard,排行榜,,,,,,ランキング一覧,순위 목록
组队,Team,组队,,,,,,チームアップ,팀을 이루다
背包,Backpack,背包,,,,,,バックパック,배낭
